lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	bank	en bank	/bɑŋk/	Banken åpner klokka ni.	audio/forvo_no/no_bank_744497_001.mp3
noun	account	en konto	/ˈkɔntuː/	Jeg har en konto her.	audio/forvo_no/no_konto_2903633_001.mp3
noun	card	et kort	/kɔʈ/	Kortet mitt virker ikke.	audio/forvo_no/no_kort_214876_001.mp3
noun	cash	en kontanter	/kɔnˈtɑntər/	Jeg har ingen kontanter.	null
noun	ATM	en minibank	/ˈmiːnɪbɑŋk/	Minibanken er ute.	audio/forvo_no/no_minibank_3819662_001.mp3
noun	transfer	en overføring	/ˈoːʋərˌføːriŋ/	Overføringen tar en dag.	null
noun	deposit	et innskudd	/ˈɪnːʂkʉd/	Innskuddet er på kontoen.	audio/forvo_no/no_innskudd_4330316_001.mp3
noun	withdrawal	en uttak	/ˈʉtɑːk/	Jeg trenger et kontantuttak.	audio/forvo_no/no_uttak_4761359_001.mp3
noun	fee	et gebyr	/jəˈbyːr/	Det er et lite gebyr.	audio/forvo_no/no_gebyr_2589964_001.mp3
noun	balance	en saldo	/ˈsɑldu/	Saldoen er lav.	audio/forvo_no/no_Saldo_6089397_001.mp3
noun	bill	en regning	/ˈreːnɪŋ/	Jeg betaler regningen nå.	audio/forvo_no/no_regning_3483292_001.mp3
noun	invoice	en faktura	/fɑkˈtʉːrɑ/	Fakturaen kom i posten.	audio/forvo_no/no_faktura_4772695_001.mp3
noun	post office	et postkontor	/ˈpɔstˌkɔntuːr/	Postkontoret ligger i sentrum.	audio/forvo_no/no_postkontor_2474337_001.mp3
noun	stamp	et frimerke	/ˈfriːmɛʈkə/	Jeg trenger et frimerke.	audio/forvo_no/no_frimerke_2589929_001.mp3
noun	package	en pakke	/ˈpɑkːə/	Jeg henter en pakke.	null
noun	address	en adresse	/ɑˈdrɛsə/	Skriv adressen her.	audio/forvo_no/no_Adresse_351590_001.mp3
verb	to send (mail)	å sende, sender, sendet, har sendet	/ˈsɛnːə/	Jeg sender brevet i dag.	audio/forvo_no/no_sende_3243559_001.mp3
verb	to receive	å motta, mottar, mottok, har mottatt	/ˈmɔtːɑ/	Jeg mottar pakken i morgen.	audio/forvo_no/no_motta_4331321_001.mp3
verb	to track (a package)	å spore, sporer, sporet, har sporet	/ˈspuːrə/	Du kan spore pakken på nett.	audio/forvo_no/no_spore_4747308_001.mp3
noun	ID	en legitimasjon	/leɡitɪmɑˈʂuːn/	Jeg må vise legitimasjon.	audio/forvo_no/no_legitimasjon_2330746_001.mp3
noun	savings account	en sparekonto	/ˈspɑːrəˌkɔntuː/	Jeg har en sparekonto.	audio/forvo_no/no_sparekonto_8176214_001.mp3
noun	current account	en brukskonto	/ˈbrʉːksˌkɔntuː/	Lønnen går inn på brukskontoen.	null
noun	online banking	en nettbank	/ˈnɛtːˌbɑŋk/	Jeg bruker nettbank.	null
noun	mobile bank	en mobilbank	/ˈmuːbɪlˌbɑŋk/	Mobilbanken er enkel.	null
noun	bank branch	en bankfilial	/ˈbɑŋkˌfɪˈjɑːl/	Nærmeste bankfilial er stengt.	null
noun	customer service	en kundeservice	/ˈkʉnːdəˌsærʋɪs/	Ring kundeservice.	null
noun	loan	et lån	/loːn/	Jeg har et lån.	audio/forvo_no/no_l_n_2590224_001.mp3
noun	mortgage	et boliglån	/ˈbuːliˌloːn/	Boliglånet er dyrt.	audio/forvo_no/no_boligl_n_4330504_001.mp3
noun	interest	en rente	/ˈrɛntə/	Renten har gått opp.	audio/forvo_no/no_rente_4321135_001.mp3
noun	payment	en betaling	/bəˈtɑːlɪŋ/	Betalingen er registrert.	null
noun	bank statement	en kontoutskrift	/ˈkɔntuˌʉtʂkrɪft/	Jeg trenger kontoutskrift.	null
noun	transaction	en transaksjon	/trɑnˈsɑkʂuːn/	Transaksjonen gikk gjennom.	audio/forvo_no/no_transaksjon_4761322_001.mp3
noun	transfer limit	en overføringsgrense	/ˈoːʋərˌføːrɪŋsˌɡrɛnsə/	Overføringsgrensen er nådd.	null
noun	PIN	en pin-kode	/ˈpɪnˌkuːdə/	Jeg har glemt pin-koden.	audio/forvo_no/no_PIN-kode_7715011_001.mp3
noun	ID number	et fødselsnummer	/ˈfœːdsəlsˌnʉmːər/	Jeg må oppgi fødselsnummeret.	null
noun	bank transfer	en bankoverføring	/ˈbɑŋkˌoːʋərˌføːrɪŋ/	Jeg gjør en bankoverføring.	null
noun	card payment	en kortbetaling	/ˈkɔʈˌbəˈtɑːlɪŋ/	Kortbetalingen ble avvist.	null
noun	cash withdrawal	et kontantuttak	/ˈkɔnːtɑnˌtʉtɑːk/	Kontantuttaket er gratis.	null
noun	cash deposit	en kontantinnskudd	/ˈkɔnːtɑnˌtɪnʂkʉd/	Kontantinnskudd er ikke mulig her.	null
noun	exchange rate	en valutakurs	/ʋɑˈlʉːtɑˌkʉːʂ/	Valutakursen er dårlig i dag.	audio/forvo_no/no_valutakurs_2330600_001.mp3
noun	currency	en valuta	/ʋɑˈlʉːtɑ/	Jeg trenger litt valuta.	audio/forvo_no/no_valuta_1167235_001.mp3
noun	foreign payment	en utenlandsbetaling	/ˈʉːtənˌlɑn(d)sˌbəˈtɑːlɪŋ/	Utenlandsbetalingen tar tid.	null
noun	standing order	en fast betaling	/fɑst bəˈtɑːlɪŋ/	Jeg har fast betaling på husleie.	null
noun	direct debit	en avtalegiro	/ˈɑːʋtɑːləˌʝiːru/	Jeg bruker avtalegiro.	null
noun	e-invoice	en e-faktura	/ˈeːfɑkˈtʉːrɑ/	E-faktura er praktisk.	null
noun	receipt	en kvittering	/kʋɪˈteːrɪŋ/	Jeg trenger kvittering.	audio/forvo_no/no_kvittering_4342473_001.mp3
noun	bank card	et bankkort	/ˈbɑŋkˌkɔʈ/	Bankkortet er sperret.	audio/forvo_no/no_bankkort_2355405_001.mp3
noun	credit card	en kredittkort	/krəˈdɪtːˌkɔʈ/	Jeg betaler med kredittkort.	audio/forvo_no/no_kredittkort_1630174_001.mp3
noun	debit card	et debetkort	/dɛˈbeːtˌkɔʈ/	Debetkortet mitt virker.	null
noun	card reader	en kortleser	/ˈkɔʈˌleːsər/	Kortleseren er ute av drift.	audio/forvo_no/no_kortleser_5809922_001.mp3
noun	signature	en signatur	/sɪɡˈnɑːtʉr/	Du må gi signatur.	null
noun	account holder	en kontoeier	/ˈkɔntuˌæɪər/	Kontoeieren må møte opp.	null
noun	power of attorney	en fullmakt	/ˈfʉlːmɑkt/	Han har fullmakt.	audio/forvo_no/no_fullmakt_4761496_001.mp3
noun	saving	en sparing	/ˈspɑːrɪŋ/	Sparing er lurt.	null
noun	budget	et budsjett	/bʉˈʂɛt/	Vi lager et budsjett.	audio/forvo_no/no_Budsjett_2364321_001.mp3
noun	income	en inntekt	/ˈɪnːtɛkt/	Inntekten min er stabil.	audio/forvo_no/no_inntekt_2752225_001.mp3
noun	expense	en utgift	/ˈʉːtɡɪft/	Dette er en stor utgift.	null
noun	rent payment	en husleie	/ˈhʉːsˌlæɪə/	Husleien betales i dag.	audio/forvo_no/no_husleie_2559191_001.mp3
noun	refund	en tilbakebetaling	/ˈtɪlbɑːkəˌbəˈtɑːlɪŋ/	Jeg venter på tilbakebetaling.	null
verb	to pay a bill	å betale en regning, betaler en regning, betalte en regning, har betalt en regning	/bəˈtɑːlə en ˈreːnɪŋ/	Jeg betaler en regning i dag.	null
verb	to withdraw	å ta ut, tar ut, tok ut, har tatt ut	/tɑ ʉːt/	Jeg vil ta ut kontanter.	null
verb	to deposit	å sette inn, setter inn, satte inn, har satt inn	/ˈsɛtːə ɪn/	Jeg setter inn penger.	null
