lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	pharmacy	et apotek	/ɑpʊˈteːk/	Apoteket er åpent til seks.	audio/forvo_no/no_apotek_582574_001.mp3
noun	medicine	en medisin	/mɛdɪˈsiːn/	Denne medisinen hjelper.	audio/forvo_no/no_medisin_3555506_001.mp3
noun	prescription	en resept	/reˈsɛpt/	Jeg har resept fra legen.	audio/forvo_no/no_resept_4761770_001.mp3
noun	painkiller	et smertestillende middel	/et ˈsmæʈtəˌstɪlːənə ˈmɪdːəl/	Jeg trenger et smertestillende middel.	
noun	cough	en hoste	/ˈhɔstə/	Hosten er verre i natt.	
noun	fever	en feber	/ˈfeːbər/	Hun har feber.	audio/forvo_no/no_feber_2335261_001.mp3
noun	cold (illness)	en forkjølelse	/ˈfuːrçøːləsə/	Jeg har forkjølelse.	audio/forvo_no/no_forkj_lelse_622320_001.mp3
noun	allergy	en allergi	/ɑlɛrˈɡiː/	Han har pollenallergi.	
verb	to take (medicine)	å ta, tar, tok, har tatt	/tɑː/	Ta tabletten med vann.	audio/forvo_no/no_ta_743175_001.mp3
verb	to help	å hjelpe, hjelper, hjalp, har hjulpet	/ˈjɛlpə/	Dette kan hjelpe mot smerter.	
adjective	sick	syk	/syːk/	Jeg føler meg syk.	audio/forvo_no/no_syk_805129_001.mp3
adjective	healthy	frisk	/frɪsk/	Hun er frisk nå.	audio/forvo_no/no_frisk_293665_001.mp3
adjective	pregnant	gravid	/ɡrɑˈʋiːd/	Hun er gravid i tredje måned.	audio/forvo_no/no_gravid_2902178_001.mp3
adverb	daily	daglig	/ˈdɑːli/	Ta medisinen daglig.	audio/forvo_no/no_daglig_1671003_001.mp3
expression	I need something for ...	Jeg trenger noe mot ...	/jæɪ ˈtrɛŋər nuːə muːt/	Jeg trenger noe mot hoste.	
expression	Do you have something cheaper?	Har dere noe billigere?	/hɑr ˈdeːrə nuːə ˈbɪlːɪɡərə/	Har dere noe billigere?	
noun	bandage	en bandasje	/bɑnˈdɑːʂə/	Jeg trenger en bandasje.	audio/forvo_no/no_bandasje_2887125_001.mp3
noun	ointment	en salve	/ˈsɑlʋə/	Smør på salven.	audio/forvo_no/no_salve_2354941_001.mp3
noun	instruction	en bruksanvisning	/ˈbrʉːksˌɑnʋiːsniŋ/	Les bruksanvisningen nøye.	audio/forvo_no/no_bruksanvisning_1065719_001.mp3
noun	side effect	en bivirkning	/ˈbiːʋɪʈkniŋ/	Har medisinen en bivirkning?	audio/forvo_no/no_bivirkning_4747217_001.mp3
noun	tablet	en tablett	/tɑˈblɛt/	Ta en tablett.	audio/forvo_no/no_Tablett_2335250_001.mp3
noun	capsule	en kapsel	/ˈkɑpsəl/	Kapselen er stor.	audio/forvo_no/no_kapsel_6463543_001.mp3
noun	syrup	en hostesaft	/ˈhɔstəˌsɑft/	Barnet trenger hostesaft.	audio/forvo_no/no_hostesaft_293656_001.mp3
noun	drop	en dråpe	/ˈdroːpə/	En dråpe to ganger daglig.	
noun	spray	en spray	/spræɪ/	Nesespray hjelper.	audio/forvo_no/no_spray_7415919_001.mp3
noun	inhaler	en inhalator	/ɪnhɑˈlɑːtʉr/	Han bruker inhalator.	audio/forvo_no/no_inhalator_6085018_001.mp3
noun	ointment	en salve	/ˈsɑlʋə/	Smør salve på huden.	audio/forvo_no/no_salve_2354941_001.mp3
noun	cream	en krem	/kreːm/	Bruk krem etter dusj.	audio/forvo_no/no_krem_4914893_001.mp3
noun	lotion	en lotion	/luˈʂuːn/	Lotionen er mild.	
noun	thermometer	et termometer	/tærmʊˈmeːtər/	Jeg trenger et termometer.	audio/forvo_no/no_termometer_2335220_001.mp3
noun	bandage	en bandasje	/bɑnˈdɑːʂə/	Jeg trenger bandasje.	audio/forvo_no/no_bandasje_2887125_001.mp3
noun	plaster	en plaster	/ˈplɑstər/	Har du plaster?	audio/forvo_no/no_plaster_2905428_001.mp3
noun	gauze	en kompress	/kɔmˈprɛs/	Legg på en kompress.	audio/forvo_no/no_kompress_4874520_001.mp3
noun	antibiotic	et antibiotikum	/et ɑntɪbɪˈuːtɪkʉm/	Legen ga et antibiotikum.	
noun	pain relief	en smertelindring	/ˈsmæʈtəˌlɪnːdrɪŋ/	Jeg trenger smertelindring.	
noun	fever reducer	en febernedsettende	/ˈfeːbərˌneːdˌsɛtːənə/	Ta febernedsettende.	
noun	cough medicine	en hostemedisin	/ˈhɔstəˌmɛdɪsiːn/	Hostemedisin finnes her.	
noun	vitamin	et vitamin	/ʋɪtɑˈmiːn/	Jeg tar et vitamin.	
noun	supplement	en tilskudd	/ˈtɪlˌskʉd/	Kosttilskudd kan hjelpe.	
noun	allergy medicine	en allergimedisin	/ɑlɛrˈɡiːˌmɛdɪsiːn/	Allergimedisinen virker.	
noun	heartburn	en halsbrann	/ˈhɑlsˌbrɑn/	Jeg har halsbrann.	audio/forvo_no/no_halsbrann_3125579_001.mp3
noun	stomach acid	en magesyre	/ˈmɑːɡəˌsyːrə/	Middelet mot magesyre.	
noun	diarrhea	en diaré	/dɪɑˈreː/	Jeg har diaré.	audio/forvo_no/no_diar_2850663_001.mp3
noun	constipation	en forstoppelse	/fɔˈstɔpːəlsə/	Jeg har forstoppelse.	audio/forvo_no/no_forstoppelse_2901864_001.mp3
noun	nausea	en kvalme	/ˈkʋɑlmə/	Noe mot kvalme.	audio/forvo_no/no_kvalme_4758601_001.mp3
noun	sleep aid	en søvnmiddel	/ˈsøːʋnˌmɪdːəl/	Jeg trenger søvnmiddel.	
noun	eye drop	en øyedråpe	/ˈøyəˌdroːpə/	Øyedråpen hjelper mot tørre øyne.	
noun	ear drop	en øredråpe	/ˈøːrəˌdroːpə/	Øredråpen hjelper mot smerte.	
noun	nasal spray	en nesespray	/ˈneːsəˌspræɪ/	Nesespray åpner nesen.	
noun	throat lozenge	en halstablett	/ˈhɑlsˌtɑblɛt/	Halstabletter hjelper.	
noun	lozenge	en pastill	/pɑsˈtɪl/	En pastill mot halsen.	audio/forvo_no/no_pastill_6477769_001.mp3
noun	sun cream	en solkrem	/ˈsuːlˌkreːm/	Bruk solkrem i solen.	audio/forvo_no/no_solkrem_4415251_001.mp3
noun	skin care	en hudpleie	/ˈhʉːdˌplæɪə/	Hudpleie er viktig.	audio/forvo_no/no_hudpleie_7714471_001.mp3
noun	first aid	en førstehjelp	/ˈføːʂtəˌjɛlp/	Har dere førstehjelp?	
noun	prescription medicine	en reseptbelagt medisin	/reˈsɛptbəˌlɑkt mɛdɪˈsiːn/	Dette er reseptbelagt.	
noun	over-the-counter medicine	et reseptfritt legemiddel	/et reˈsɛptfrɪt ˈleːɡəˌmɪdːəl/	Dette er et reseptfritt legemiddel.	
noun	dosage	en dosering	/dʊˈseːrɪŋ/	Følg doseringen.	audio/forvo_no/no_dosering_4330611_001.mp3
noun	expiration date	en utløpsdato	/ˈʉtˌløːpsˌdɑːtu/	Sjekk utløpsdatoen.	
