lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	library	et bibliotek	/bɪblɪʊˈteːk/	Biblioteket åpner klokka ti.	docs/assets/audio/forvo_no/no_bibliotek_1065996_001.mp3
noun	book	en bok	/buːk/	Jeg leser en bok.	docs/assets/audio/forvo_no/no_bok_1065709_001.mp3
noun	author	en forfatter	/ˈfɔʈfɑtər/	Forfatteren er norsk.	docs/assets/audio/forvo_no/no_forfatter_1167381_001.mp3
noun	title	en tittel	/ˈtɪtːəl/	Hva er tittelen på boka?	null
noun	page	en side	/ˈsiːdə/	Jeg er på side femti.	null
noun	shelf	en hylle	/ˈhʏlːə/	Bøkene står på hylla.	docs/assets/audio/forvo_no/no_hylle_4344191_001.mp3
noun	loan (borrowing)	et lån	/loːn/	Lånet varer i tre uker.	docs/assets/audio/forvo_no/no_l_n_2590224_001.mp3
noun	due date	en leveringsfrist	/ləˈʋeːrɪŋsˌfrɪst/	Leveringsfristen er neste uke.	null
noun	library card	et lånekort	/ˈloːnəˌkuːʈ/	Jeg har et lånekort.	docs/assets/audio/forvo_no/no_l_nekort_3967550_001.mp3
verb	to borrow	å låne, låner, lånte, har lånt	/ˈloːnə/	Kan jeg låne denne?	docs/assets/audio/forvo_no/no_l_ne_1065563_001.mp3
verb	to return	å levere, leverer, leverte, har levert	/ləˈʋeːrə/	Jeg må levere boka i dag.	docs/assets/audio/forvo_no/no_levere_5026234_001.mp3
verb	to renew	å fornye, fornyer, fornyet, har fornyet	/fɔrˈnyːə/	Jeg vil fornye lånet.	null
verb	to read	å lese, leser, leste, har lest	/ˈleːsə/	Jeg leser hver kveld.	null
adjective	on loan	utlånt	/ˈʉtloːnt/	Boka er utlånt.	null
adverb	quietly	stille	/ˈstɪlə/	Snakk stille på biblioteket.	docs/assets/audio/forvo_no/no_stille_767362_001.mp3
expression	Do you have this book?	Har dere denne boken?	/hɑr ˈdeːrə ˈdɛnːə ˈbuːkən/	Har dere denne boken?	null
expression	Can I extend the loan?	Kan jeg forlenge lånet?	/kɑn jæɪ fɔrˈlɛŋə ˈloːnə/	Kan jeg forlenge lånet?	null
noun	magazine	et magasin	/mɑɡɑˈsiːn/	Jeg leser et magasin.	docs/assets/audio/forvo_no/no_magasin_4328586_001.mp3
noun	newspaper	en avis	/ɑˈʋiːs/	Avisen ligger på bordet.	docs/assets/audio/forvo_no/no_Avis_4340511_001.mp3
noun	library catalogue	en katalog	/ˈkɑtɑlɔɡ/	Jeg søker i katalogen.	null
noun	search	et søk	/søːk/	Jeg gjør et søk.	null
noun	keyword	et nøkkelord	/ˈnøːkəlˌuːr/	Bruk et nøkkelord.	null
noun	genre	en sjanger	/ˈʂɑŋər/	Hvilken sjanger liker du?	docs/assets/audio/forvo_no/no_sjanger_4758152_001.mp3
noun	novel	en roman	/rʊˈmɑːn/	Jeg leser en roman.	docs/assets/audio/forvo_no/no_Roman_3240132_001.mp3
noun	short story	en novelle	/nʊˈʋɛlːə/	Det er en kort novelle.	docs/assets/audio/forvo_no/no_Novelle_4764929_001.mp3
