lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	phone	en telefon	/tɛləˈfuːn/	Telefonen min er tom for strøm.	audio/forvo_no/no_telefon_141764_001.mp3
noun	charger	en lader	/ˈlɑːdər/	Har du en lader?	audio/forvo_no/no_Lader_4327447_001.mp3
noun	battery	et batteri	/bɑtəˈriː/	Batteriet er nesten tomt.	audio/forvo_no/no_batteri_623399_001.mp3
noun	signal	en dekning	/ˈdeːkniŋ/	Jeg har dårlig dekning her.	audio/forvo_no/no_dekning_4747227_001.mp3
noun	number	et nummer	/ˈnʉmːər/	Hva er nummeret ditt?	audio/forvo_no/no_nummer_2187529_001.mp3
noun	contact	en kontakt	/kɔnˈtɑkt/	Jeg har lagret kontakten.	audio/forvo_no/no_kontakt_825806_001.mp3
noun	message	en melding	/ˈmɛldiŋ/	Jeg sendte en melding.	null
noun	app	en app	/ɑp/	Denne appen er nyttig.	audio/forvo_no/no_app_6466993_001.mp3
noun	internet	et internett	/ˈɪnːtərnɛt/	Internettet er tregt.	audio/forvo_no/no_internett_2187622_001.mp3
noun	Wi-Fi	en Wi-Fi	/ˈʋiːfi/	Wi-Fi virker ikke.	null
noun	password	et passord	/ˈpɑsɔʈ/	Hva er Wi-Fi-passordet?	audio/forvo_no/no_passord_3243134_001.mp3
verb	to call	å ringe, ringer, ringte, har ringt	/ˈrɪŋə/	Jeg ringer deg senere.	audio/forvo_no/no_ringe_743140_001.mp3
verb	to text (SMS)	å sende SMS, sender SMS, sendet SMS, har sendet SMS	/ˈsɛnːə ɛsˌɛmˈɛs/	Jeg sender en SMS.	null
verb	to connect	å koble til, kobler til, koblet til, har koblet til	/ˈkɔbːlə tɪl/	Kan du koble til nettet?	null
verb	to download	å laste ned, laster ned, lastet ned, har lastet ned	/ˈlɑstə neːd/	Jeg laster ned appen.	audio/forvo_no/no_laste_ned_4394240_001.mp3
verb	to update	å oppdatere, oppdaterer, oppdaterte, har oppdatert	/ˈɔpːdɑteːrə/	Telefonen må oppdateres.	null
verb	to reset	å tilbakestille, tilbakestiller, tilbakestillte, har tilbakestillt	/ˈtɪlbɑːkəˌstɪlːə/	Jeg må tilbakestille mobilen.	null
adjective	broken	ødelagt	/ˈøːdəˌlɑkt/	Skjermen er ødelagt.	audio/forvo_no/no_delagt_363087_001.mp3
adjective	slow	treg	/treːɡ/	Internettet er tregt.	audio/forvo_no/no_treg_4748179_001.mp3
noun	mobile	en mobil	/ˈmuːbɪl/	Mobilen min er ny.	audio/forvo_no/no_mobil_644340_001.mp3
noun	smartphone	en smarttelefon	/ˈsmɑʈtˌtɛləˌfuːn/	Jeg har en smarttelefon.	audio/forvo_no/no_smarttelefon_4669589_001.mp3
noun	screen	en skjerm	/ʂjærm/	Skjermen er sprukket.	audio/forvo_no/no_skjerm_1432370_001.mp3
noun	case	et deksel	/ˈdɛksəl/	Jeg trenger et deksel.	null
noun	headphone	en hodetelefon	/ˈhuːdəˌtɛləˌfuːnər/	Jeg bruker en hodetelefon.	audio/forvo_no/no_hodetelefon_2354798_001.mp3
noun	earbud	en ørepropp	/ˈøːrəˌprɔpər/	Øreproppen er borte.	audio/forvo_no/no_repropp_7670553_001.mp3
noun	speaker	en høyttaler	/ˈhœʏtˌtɑːlər/	Høyttaleren er høy.	null
