lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	school	en skole	/ˈskuːlə/	Jeg går på skole i nærheten.	[audio](audio/forvo_no/no_skole_2187477_001.mp3)
noun	teacher	en lærer	/ˈlɛːrər/	Læreren forklarer oppgaven.	
noun	student	en elev	/eˈleːv/	Hun er en flink elev.	[audio](audio/forvo_no/no_elev_4742406_001.mp3)
noun	class (lesson)	en time	/ˈtiːmə/	Vi har norsk time nå.	[audio](audio/forvo_no/no_time_3240092_001.mp3)
noun	class (group)	en klasse	/ˈklɑsə/	Klassen starter klokka åtte.	[audio](audio/forvo_no/no_klasse_1498543_001.mp3)
noun	homework	en lekse	/ˈlɛksə/	Jeg gjør en lekse etter middag.	
noun	assignment	en oppgave	/ˈɔpːɡɑːvə/	Dette er en vanskelig oppgave.	[audio](audio/forvo_no/no_oppgave_1432170_001.mp3)
noun	textbook	ei lærebok	/ˈlɛːrəbuːk/	Jeg leser i læreboka.	
noun	notebook	ei notatbok	/nʊˈtɑːtbuːk/	Hun skriver i notatboka.	[audio](audio/forvo_no/no_notatbok_6474605_001.mp3)
noun	pen	en penn	/pɛn/	Har du en ekstra penn?	
noun	exam	en eksamen	/ɛkˈsɑːmən/	Vi har eksamen på fredag.	[audio](audio/forvo_no/no_eksamen_2905501_001.mp3)
verb	to learn	å lære, lærer, lærte, har lært	/ˈlɛːrə/	Jeg lærer norsk hver dag.	[audio](audio/forvo_no/no_l_re_4340456_001.mp3)
verb	to study	å studere, studerer, studerte, har studert	/stʉˈdeːrə/	Han studerer på universitetet.	[audio](audio/forvo_no/no_studere_1167322_001.mp3)
verb	to understand	å forstå, forstår, forstod, har forstått	/fɔʂˈtoː/	Jeg forstår nesten alt.	[audio](audio/forvo_no/no_forst_493003_001.mp3)
adjective	difficult	vanskelig	/ˈvɑnʃəli/	Dette er litt vanskelig.	[audio](audio/forvo_no/no_vanskelig_353306_001.mp3)
adjective	easy	lett	/lɛt/	Oppgaven er lett.	[audio](audio/forvo_no/no_lett_4331653_001.mp3)
adverb	carefully	nøye	/ˈnøːjə/	Les teksten nøye.	[audio](audio/forvo_no/no_n_ye_4324846_001.mp3)
expression	Can you repeat?	Kan du gjenta?	/kɑn dʉ jɛnˈtɑː/	Kan du gjenta spørsmålet?	
noun	break (recess)	en pause	/ˈpæʉsə/	Vi har pause klokka ti.	
noun	grade	en karakter	/kɑrɑkˈteːr/	Hun fikk god karakter.	[audio](audio/forvo_no/no_karakter_1167214_001.mp3)
noun	classroom	en klasserom	/ˈklɑsəˌrʊm/	Klasserommet er lyst.	[audio](audio/forvo_no/no_klasserom_3243135_001.mp3)
noun	desk	en pult	/pʉlt/	Jeg sitter ved pulten.	[audio](audio/forvo_no/no_pult_4772840_001.mp3)
noun	chair	en stol	/stuːl/	Stolen er gammel.	[audio](audio/forvo_no/no_stol_316094_001.mp3)
noun	board	en tavle	/ˈtɑːʋlə/	Læreren skriver på tavla.	
noun	marker	en whiteboardtusj	/ˈʋaɪtbɔːdˌtʉʂ/	Jeg trenger en tusj.	
noun	eraser	et viskelær	/ˈʋɪskəˌlɛːr/	Viskelæret ligger på pulten.	[audio](audio/forvo_no/no_viskel_r_800834_001.mp3)
noun	ruler	en linjal	/ˈlɪnːjɑːl/	Han bruker linjal.	[audio](audio/forvo_no/no_linjal_1179899_001.mp3)
noun	pencil	en blyant	/ˈblyːɑnt/	Jeg skriver med blyant.	[audio](audio/forvo_no/no_blyant_1065706_001.mp3)
noun	highlighter	en markeringstusj	/mɑʈˈkeːrɪŋsˌtʉʂ/	Jeg bruker markeringstusj.	
noun	folder	en mappe	/ˈmɑpːə/	Legg arket i mappa.	[audio](audio/forvo_no/no_Mappe_4748453_001.mp3)
noun	paper	et ark	/ɑʈ/	Jeg trenger et ark.	[audio](audio/forvo_no/no_ark_1179903_001.mp3)
noun	worksheet	et arbeidsark	/ˈɑːrbæɪdsˌɑʈ/	Arbeidsarket er delt ut.	
noun	whiteboard	en whiteboard	/ˈʋaɪtbɔːd/	Vi bruker whiteboard.	
noun	projector	en prosjektor	/prʊʂɛkˈtuːr/	Prosjektoren virker ikke.	
noun	presentation	en presentasjon	/prɛsɛntɑˈʂuːn/	Jeg holder en presentasjon.	
noun	group work	en gruppearbeid	/ˈɡrʉpəˌɑːrbæɪd/	Vi har gruppearbeid i dag.	[audio](audio/forvo_no/no_gruppearbeid_4772613_001.mp3)
noun	pair work	en pararbeid	/ˈpɑːrˌɑːrbæɪd/	Vi jobber i pararbeid.	
noun	subject	en fag	/fɑːɡ/	Norsk er mitt favorittfag.	[audio](audio/forvo_no/no_fag_1065633_001.mp3)
noun	math class	en mattetime	/ˈmɑtːəˌtiːmə/	Vi har mattetime i dag.	
noun	Norwegian class	en norsktime	/ˈnɔʂkˌtiːmə/	Norsktimen er vanskelig.	
noun	English class	en engelsktime	/ˈɛŋəlskˌtiːmə/	Engelsktimen er nyttig.	[audio](audio/forvo_no/no_engelsktime_6057273_001.mp3)
noun	science class	en naturfagstime	/ˈnɑtʉːrˌfɑːɡˌtiːmə/	Vi har naturfagstime i dag.	
noun	history	en historie	/hɪˈstuːriə/	Historie handler om fortiden.	
noun	geography	en geografi	/ɡɛʊɡrɑˈfiː/	Geografi lærer oss om land.	[audio](audio/forvo_no/no_geografi_617462_001.mp3)
noun	gym class	en gymtime	/ˈjʏmˌtiːmə/	Vi har gymtime i dag.	
noun	art class	en kunsttime	/ˈkʉnstˌtiːmə/	Kunsttimen er morsom.	
noun	music class	en musikktime	/mʉˈsɪkˌtiːmə/	Vi har musikktime i dag.	
noun	break time	et friminutt	/ˈfriːmɪnʉt/	Friminuttet er kort.	[audio](audio/forvo_no/no_friminutt_5030058_001.mp3)
noun	calendar	en kalender	/kɑˈlɛnːdər/	Datoen står i kalenderen.	
noun	semester	et semester	/səˈmɛstər/	Semesteret starter i august.	[audio](audio/forvo_no/no_semester_2349285_001.mp3)
noun	term	en termin	/tærˈmiːn/	Terminprøven er snart.	[audio](audio/forvo_no/no_Termin_4772690_001.mp3)
