lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	clothing item	et klesplagg	/klæːr/	Jeg trenger et nytt klesplagg.	audio/forvo_no/no_klesplagg_3147872_001.mp3
noun	size	en størrelse	/ˈstøːʂəlsə/	Hvilken størrelse bruker du?	audio/forvo_no/no_st_rrelse_804953_001.mp3
noun	fitting room	en prøverom	/ˈprøːʋəˌruːm/	Prøverommet er der borte.	audio/forvo_no/no_pr_verom_1562069_001.mp3
noun	jacket	en jakke	/ˈjɑkːə/	Denne jakken er varm.	audio/forvo_no/no_jakke_805090_001.mp3
noun	shirt	en skjorte	/ˈʂuʈə/	Skjorta er litt stor.	audio/forvo_no/no_skjorte_141790_001.mp3
noun	pair of pants	en bukse	/ˈbʉksə/	Jeg prøver en blå bukse.	audio/forvo_no/no_bukse_153316_001.mp3
noun	dress	en kjole	/ˈçuːlə/	Hun kjøper en kjole.	audio/forvo_no/no_kjole_1034458_001.mp3
noun	shoe	en sko	/skuː/	Skoen er ny.	audio/forvo_no/no_sko_774467_001.mp3
noun	sweater	en genser	/ˈjɛnsər/	Jeg liker den genseren.	audio/forvo_no/no_genser_825846_001.mp3
noun	price tag	en prislapp	/ˈpriːsˌlɑp/	Prislappen sier 399 kroner.	audio/forvo_no/no_prislapp_6086139_001.mp3
verb	to try on	å prøve, prøver, prøvde, har prøvd	/ˈprøːʋə/	Kan jeg prøve denne?	audio/forvo_no/no_pr_ve_611356_001.mp3
verb	to return	å returnere, returnerer, returnerte, har returnert	/retyˈneːrə/	Jeg vil returnere varen.	audio/forvo_no/no_returnere_4768903_001.mp3
verb	to fit	å passe, passer, passet, har passet	/ˈpɑsːə/	Den passer perfekt.	audio/forvo_no/no_passe_5026047_001.mp3
adjective	tight	trang	/trɑŋ/	Buksen er for trang.	audio/forvo_no/no_trang_7409817_001.mp3
adjective	loose	vid	/ʋiːd/	Genseren er litt vid.	null
adjective	cheap	billig	/ˈbɪlːɪɡ/	Dette er ganske billig.	audio/forvo_no/no_billig_1066003_001.mp3
adjective	expensive	dyr	/dyːr/	Den er for dyr.	audio/forvo_no/no_dyr_7295609_001.mp3
expression	Do you have another size?	Har dere en annen størrelse?	/hɑr ˈdeːrə en ˈɑnːən ˈstøːʂəlsə/	Har dere en annen størrelse?	null
expression	Can I pay by card?	Kan jeg betale med kort?	/kɑn jæɪ beˈtɑːlə meː kɔʈ/	Kan jeg betale med kort?	null
noun	t-shirt	en t-skjorte	/ˈteːˌʂuʈə/	Jeg vil ha en t-skjorte.	audio/forvo_no/no_t-skjorte_3696443_001.mp3
noun	blouse	en bluse	/ˈblʉːsə/	Blusen er hvit.	audio/forvo_no/no_Bluse_1065705_001.mp3
noun	suit	en dress	/drɛs/	Han trenger en dress.	audio/forvo_no/no_dress_4914903_001.mp3
noun	skirt	et skjørt	/ʂøʈ/	Skjørtet er blått.	audio/forvo_no/no_skj_rt_4613244_001.mp3
noun	pair of jeans	en jeans	/dʒiːns/	Jeansen er mørk.	audio/forvo_no/no_jeans_6092139_001.mp3
noun	pair of shorts	en shorts	/ʂoːʈs/	Jeg kjøper en shorts.	audio/forvo_no/no_shorts_3147842_001.mp3
noun	coat	en kåpe	/ˈkoːpə/	Kåpen er varm.	audio/forvo_no/no_k_pe_2355925_001.mp3
noun	rain jacket	en regnjakke	/ˈræɪnˌjɑkːə/	Regnjakka er vanntett.	audio/forvo_no/no_regnjakke_5225542_001.mp3
noun	winter jacket	en vinterjakke	/ˈʋɪntərˌjɑkːə/	Vinterjakka er tykk.	audio/forvo_no/no_vinterjakke_5730272_001.mp3
noun	underwear	en undertøy	/ˈʉnːdərˌtœy/	Jeg trenger nytt undertøy.	audio/forvo_no/no_undert_y_1671025_001.mp3
noun	sock	en sokk	/ˈsɔkːər/	Sokken er svart.	audio/forvo_no/no_sokk_2887122_001.mp3
noun	pair of tights	en strømpebukse	/ˈstrœmpəˌbʉksə/	Hun kjøper en strømpebukse.	audio/forvo_no/no_str_mpebukse_2887121_001.mp3
noun	scarf	et skjerf	/ʂærf/	Skjerfet er mykt.	audio/forvo_no/no_skjerf_805073_001.mp3
noun	hat	en lue	/lʉːə/	Jeg bruker lue om vinteren.	audio/forvo_no/no_lue_1063838_001.mp3
noun	cap	en caps	/kɑps/	Han har en caps.	audio/forvo_no/no_caps_5948945_001.mp3
noun	glove	en hanske	/ˈhɑnskə/	Jeg trenger en hanske.	audio/forvo_no/no_Hanske_4761452_001.mp3
noun	boot	en støvel	/ˈstøːʋlər/	Støvelen er stor.	audio/forvo_no/no_st_vel_511038_001.mp3
noun	sneaker	en joggesko	/ˈjɔɡəˌskuː/	Joggeskoen er lett.	audio/forvo_no/no_joggesko_4744086_001.mp3
noun	sandal	en sandal	/sɑnˈdɑːlər/	Jeg kjøper en sandal.	null
noun	belt	et belte	/ˈbɛltə/	Jeg trenger et belte.	audio/forvo_no/no_belte_623395_001.mp3
noun	bag	en veske	/ˈʋɛskə/	Vesken er dyr.	audio/forvo_no/no_veske_780261_001.mp3
noun	backpack	en ryggsekk	/ˈrʏɡˌsɛk/	Ryggsekken er praktisk.	audio/forvo_no/no_ryggsekk_2355944_001.mp3
noun	wallet	ei lommebok	/ˈlʊmːəˌbuːk/	Lommeboka er borte.	audio/forvo_no/no_lommebok_2559209_001.mp3
noun	jewelry	en smykker	/ˈsmʏkːər/	Hun liker smykker.	audio/forvo_no/no_smykker_1093272_001.mp3
noun	ring	en ring	/rɪŋ/	Ringen er fin.	audio/forvo_no/no_ring_2354749_001.mp3
noun	bracelet	et armbånd	/ˈɑrmˌbɔn/	Armbåndet er nytt.	audio/forvo_no/no_armb_nd_583023_001.mp3
noun	necklace	et halskjede	/ˈhɑlsˌçeːdə/	Halskjedet er sølv.	null
noun	earring	en øredobb	/ˈøːrəˌdɔbːər/	Hun kjøper en øredobb.	audio/forvo_no/no_redobb_6471368_001.mp3
noun	color	en farge	/ˈfɑʁɡə/	Hvilken farge vil du ha?	audio/forvo_no/no_farge_3518474_001.mp3
noun	pattern	et mønster	/ˈmønːstər/	Jeg liker dette mønsteret.	audio/forvo_no/no_m_nster_4322195_001.mp3
noun	material	en stoff	/stɔf/	Hvilket stoff er det?	audio/forvo_no/no_Stoff_3752123_001.mp3
noun	cotton	en bomull	/ˈbuːmʉl/	Det er 100% bomull.	audio/forvo_no/no_bomull_1230631_001.mp3
noun	wool	en ull	/ʉl/	Denne genseren er i ull.	audio/forvo_no/no_ull_1065935_001.mp3
noun	size chart	en størrelsesguide	/ˈstøːʂəlsəˌɡaɪd/	Sjekk størrelsesguiden.	null
noun	receipt	en kvittering	/kʋɪˈteːrɪŋ/	Jeg trenger kvittering.	audio/forvo_no/no_kvittering_4342473_001.mp3
noun	discount	en rabatt	/rɑˈbɑt/	Det er rabatt i dag.	null
noun	sale	en salg	/sɑl/	Det er salg nå.	audio/forvo_no/no_salg_1394854_001.mp3
noun	return policy	en returpolicy	/reˈtʉːrˌpɔlɪsi/	Hva er returpolicyen?	null
noun	exchange	en bytte	/ˈbʏtə/	Jeg vil bytte denne.	null
noun	cashier	en kasserer	/kɑˈseːrər/	Kassereren er hyggelig.	audio/forvo_no/no_kasserer_2968488_001.mp3
noun	customer	en kunde	/ˈkʉnːdə/	Kunden spør om hjelp.	audio/forvo_no/no_Kunde_2590229_001.mp3
verb	to buy	å kjøpe, kjøper, kjøpte, har kjøpt	/ˈçøːpə/	Jeg kjøper denne.	audio/forvo_no/no_kj_pe_780299_001.mp3
verb	to look for	å lete etter, leter etter, letet etter, har letet etter	/ˈleːtə ˈɛtər/	Jeg leter etter en jakke.	audio/forvo_no/no_lete_etter_2045894_001.mp3
verb	to choose	å velge, velger, valgte, har valgt	/ˈʋɛlɡə/	Jeg velger denne.	audio/forvo_no/no_velge_1365714_001.mp3
