lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	bus	en buss	/bʉs/	Bussen kommer om fem minutter.	docs/assets/audio/forvo_no/no_buss_295870_001.mp3
noun	train	et tog	/tuːɡ/	Toget er forsinket.	docs/assets/audio/forvo_no/no_tog_206545_001.mp3
noun	subway	en t-bane	/ˈteːˌbɑːnə/	Vi tar T-banen til sentrum.	docs/assets/audio/forvo_no/no_t-bane_293658_001.mp3
noun	tram	en trikk	/trɪk/	Trikken stopper her.	docs/assets/audio/forvo_no/no_trikk_214805_001.mp3
noun	ticket	en billett	/bɪˈlɛt/	Jeg kjøper billett på appen.	docs/assets/audio/forvo_no/no_Billett_294351_001.mp3
noun	platform	en plattform	/ˈplɑtfɔʈm/	Vi står på plattform 3.	docs/assets/audio/forvo_no/no_plattform_4758021_001.mp3
noun	stop	en holdeplass	/ˈhɔldəˌplɑs/	Neste holdeplass er Storgata.	docs/assets/audio/forvo_no/no_holdeplass_800718_001.mp3
noun	schedule	en rutetabell	/ˈrʉːtəˌtɑbɛl/	Rutetabellen er på nettsiden.	null
verb	to depart	å avgå, avgår, avgikk, har avgått	/ˈɑːʋɡoː/	Toget avgår klokka åtte.	docs/assets/audio/forvo_no/no_avg_1091408_001.mp3
verb	to arrive	å ankomme, ankommer, ankom, har ankommet	/ˈɑnˌkɔmə/	Bussen ankommer om ti minutter.	docs/assets/audio/forvo_no/no_ankomme_4340419_001.mp3
verb	to transfer	å bytte, bytter, byttet, har byttet	/ˈbʏtə/	Vi må bytte på Majorstuen.	null
verb	to miss (a bus)	å miste, mister, mistet, har mistet	/ˈmɪstə/	Jeg mistet bussen.	null
adjective	late	forsinket	/fɔˈʂɪŋkət/	Flyet er forsinket.	null
adjective	early	tidlig	/ˈtiːdli/	Jeg er litt tidlig.	null
adverb	straight ahead	rett fram	/rɛt frɑm/	Gå rett fram og ta til venstre.	null
expression	Which train is this?	Hvor går dette toget?	/ʋuːr ɡoːr ˈdɛtə ˈtuːɡə/	Hvor går dette toget?	null
noun	driver	en sjåfør	/ʃoːˈføːr/	Spør sjåføren om hjelp.	null
noun	station	en stasjon	/stɑˈʂuːn/	Stasjonen er stor.	docs/assets/audio/forvo_no/no_stasjon_1059587_001.mp3
noun	travel card	en reisekort	/ˈræɪsəˌkuːʈ/	Jeg trenger nytt reisekort.	docs/assets/audio/forvo_no/no_reisekort_2942287_001.mp3
