lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	meeting	en møte	/ˈmøːtə/	Vi har møte klokka ti.	audio/forvo_no/no_m_te_1482709_001.mp3
noun	deadline	en frist	/frɪst/	Fristen er i morgen.	audio/forvo_no/no_Frist_6914564_001.mp3
noun	project	et prosjekt	/pruˈʂɛkt/	Prosjektet starter neste uke.	audio/forvo_no/no_prosjekt_2905447_001.mp3
noun	work	en arbeid	/ˈɑːrbæɪd/	Jeg har mye arbeid.	null
noun	colleague	en kollega	/kʊˈleːɡɑ/	Kollegaene mine er hyggelige.	audio/forvo_no/no_kollega_2901844_001.mp3
noun	boss	en sjef	/ʃeːf/	Sjefen er på kontoret.	audio/forvo_no/no_sjef_1065460_001.mp3
noun	email	en e-post	/ˈeːˌpɔst/	Jeg sender en e-post.	audio/forvo_no/no_e-post_4914878_001.mp3
noun	report	en rapport	/rɑˈpɔʈ/	Rapporten er nesten ferdig.	audio/forvo_no/no_rapport_4322976_001.mp3
verb	to send	å sende, sender, sendet, har sendet	/ˈsɛnːə/	Jeg sender dokumentet nå.	audio/forvo_no/no_sende_3243559_001.mp3
verb	to finish	å bli ferdig, blir ferdig, ble ferdig, har blitt ferdig	/bli ˈfæːrdi/	Jeg blir ferdig i kveld.	null
verb	to schedule	å planlegge, planlegger, planla, har planlagt	/ˈplɑnˌleɡə/	Vi planlegger et møte.	audio/forvo_no/no_planlegge_2474529_001.mp3
adjective	busy	travel	/ˈtrɑːʋəl/	Jeg er travel i dag.	audio/forvo_no/no_travel_1616661_001.mp3
adjective	available	ledig	/ˈleːdi/	Er du ledig i morgen?	audio/forvo_no/no_ledig_4331367_001.mp3
adverb	soon	snart	/snɑʈ/	Vi snakkes snart.	audio/forvo_no/no_snart_800698_001.mp3
expression	Can we have a meeting?	Kan vi ta et møte?	/kɑn vi tɑː et ˈmøːtə/	Kan vi ta et møte i dag?	null
expression	I need more time.	Jeg trenger mer tid.	/jæɪ ˈtrɛŋər meːr tiːd/	Jeg trenger mer tid.	null
noun	printer	en skriver	/ˈskriːʋər/	Skriveren er tom for papir.	audio/forvo_no/no_skriver_4342531_001.mp3
noun	department	en avdeling	/ˈɑːʋdeːliŋ/	Jeg jobber i salgavdelingen.	audio/forvo_no/no_avdeling_583024_001.mp3
noun	salary	en lønn	/løn/	Lønnen kommer på fredag.	audio/forvo_no/no_l_nn_1066849_001.mp3
noun	vacation	en ferie	/ˈfeːriə/	Jeg tar ferie i juli.	audio/forvo_no/no_ferie_743145_001.mp3
noun	office	et kontor	/kɔnˈtuːr/	Kontoret er i tredje etasje.	audio/forvo_no/no_kontor_805079_001.mp3
noun	desk	en pult	/pʉlt/	Pulten min er der.	audio/forvo_no/no_pult_4772840_001.mp3
noun	chair	en stol	/stuːl/	Stolen er komfortabel.	audio/forvo_no/no_stol_316094_001.mp3
noun	meeting room	en møterom	/ˈmøːtəˌrʊm/	Møterommet er opptatt.	null
noun	agenda	en agenda	/ɑˈɡɛndɑ/	Agendaen er klar.	audio/forvo_no/no_agenda_644252_001.mp3
noun	meeting summary	et referat	/ˈrɛfəˌrɑːt/	Kan du skrive referat?	audio/forvo_no/no_referat_4758110_001.mp3
noun	presentation	en presentasjon	/prɛsɛntɑˈʂuːn/	Jeg har en presentasjon.	null
noun	task	en oppgave	/ˈɔpːɡɑːvə/	Jeg har mange oppgaver.	audio/forvo_no/no_oppgave_1432170_001.mp3
noun	priority	en prioritet	/prɪɔrɪˈteːt/	Dette er høy prioritet.	null
noun	responsibility	en ansvar	/ˈɑnːsʋɑːr/	Dette er mitt ansvar.	audio/forvo_no/no_ansvar_644316_001.mp3
noun	team	et team	/tiːm/	Teamet mitt er bra.	audio/forvo_no/no_team_4747164_001.mp3
noun	manager	en leder	/ˈleːdər/	Lederen er i møte.	audio/forvo_no/no_Leder_2902176_001.mp3
noun	HR	en HR	/hɑːr/	HR hjelper med kontrakten.	null
noun	client	en kunde	/ˈkʉnːdə/	Kunden ringer.	audio/forvo_no/no_Kunde_2590229_001.mp3
noun	customer	en kunde	/ˈkʉnːdə/	Vi har mange kunder.	audio/forvo_no/no_Kunde_2590229_001.mp3
noun	supplier	en leverandør	/ˈleːʋərɑnˌdøːr/	Leverandøren er forsinket.	null
noun	invoice	en faktura	/fɑkˈtʉːrɑ/	Fakturaen er sendt.	audio/forvo_no/no_faktura_4772695_001.mp3
